"content_id","cast_id"
1,284
1,285
1,286
1,287
1,288
2,289
2,290
2,291
2,292
2,293
3,294
3,295
3,296
3,297
4,298
4,299
4,300
4,301
4,302
5,303
5,304
5,305
5,306
5,307
6,308
6,309
6,310
6,311
6,312
7,313
7,314
7,315
7,316
8,317
8,319
8,320
9,321
9,322
9,323
9,324
9,325
10,326
10,328
10,329
11,330
11,332
11,333
12,334
12,335
13,337
13,338
13,339
13,340
14,341
14,342
14,343
14,344
16,349
16,350
16,351
16,352
17,353
17,354
17,355
17,356
18,356
18,357
18,358
18,359
26,360
26,361
26,362
26,363
27,364
27,365
28,367
29,368
29,369
29,370
29,371
30,372
30,373
30,374
31,375
31,376
31,377
32,378
32,379
32,380
33,381
33,382
33,383
33,384
34,385
34,386
34,387
34,388
35,389
35,390
35,391
35,392
36,393
36,394
36,395
37,396
37,397
37,398
37,399
38,400
38,401
38,402
39,403
39,404
39,405
39,406
40,407
40,408
41,409
41,411
41,412
42,413
42,414
42,415
43,416
43,417
44,418
44,419
44,420
44,421
45,422
45,423
45,424
45,425
46,426
46,427
46,428
46,429
47,430
47,431
47,432
47,433
48,434
48,435
48,436
48,437
49,438
49,439
49,440
49,441
50,442
50,443
50,444
50,445
51,446
51,447
51,448
52,450
53,452
53,453
53,454
53,455
54,456
111,508
111,509
111,510
111,511
112,512
112,513
112,514
112,515
113,508
113,516
113,509
113,514
114,516
114,517
114,518
114,519
115,520
115,516
115,521
115,522
116,523
116,524
116,525
117,516
117,526
117,527
118,528
118,522
118,529
119,530
119,531
119,532
119,533
120,534
120,531
120,535
121,516
121,510
121,536
121,537
122,538
122,539
122,540
123,541
123,521
123,514
124,542
124,543
124,544
125,545
125,512
125,518
126,511
126,526
126,531
127,527
127,520
127,545
128,522
128,529
128,531
129,530
129,516
129,535
129,537
130,531
130,540
130,538
130,544
131,527
131,534
131,526
131,522
132,534
132,531
132,540
132,536
133,511
133,522
133,527
134,528
134,529
134,540
135,523
135,525
135,538
136,510
136,531
136,533
137,539
137,535
137,537
138,541
138,544
138,526
139,532
139,529
139,534
140,508
140,520
140,530
